id,original_title,director,revenue,type
8359.0,Kit Kittredge: An American Girl,Patricia Rozema,0.0,min revenue
8382.0,Today You Die,Don E. FauntLeRoy,0.0,min revenue
8388.0,Â¡Three Amigos!,John Landis,0.0,min revenue
8393.0,The Gods Must Be Crazy,Jamie Uys,0.0,min revenue
8414.0,Interview,Steve Buscemi,0.0,min revenue
8421.0,"Zidane, un portrait du 21e siÃ¨cle",Douglas Gordon|Philippe Parreno,0.0,min revenue
8436.0,La tourneuse de pages,Denis Dercourt|Rafaele Ravinet-Virbel,0.0,min revenue
8446.0,Bugsy Malone,Alan Parker,0.0,min revenue
8457.0,Drillbit Taylor,Steven Brill,0.0,min revenue
8460.0,The Skulls II,Joe Chappelle,0.0,min revenue
8494.0,Weekend at Bernie's II,Robert Klane,0.0,min revenue
8545.0,Little Voice,Mark Herman,0.0,min revenue
8555.0,Creep,Christopher Smith,0.0,min revenue
8583.0,Dangerous Beauty,Marshall Herskovitz,0.0,min revenue
8588.0,Shooting Dogs,Michael Caton-Jones,0.0,min revenue
8649.0,Bringing Out the Dead,Martin Scorsese,0.0,min revenue
8669.0,Charlie Bartlett,Jon Poll,0.0,min revenue
8675.0,Orgazmo,Trey Parker,0.0,min revenue
8677.0,The Bourne Identity,Roger Young,0.0,min revenue
8691.0,Cannibal Ferox,Umberto Lenzi,0.0,min revenue
8740.0,Spoorloos,George Sluizer,0.0,min revenue
8744.0,Albino Alligator,Kevin Spacey,0.0,min revenue
8747.0,The Black Balloon,Elissa Down,0.0,min revenue
8748.0,Eagle vs Shark,Taika Waititi,0.0,min revenue
8838.0,Mercury Rising,Harold Becker,0.0,min revenue
8866.0,The Truth About Cats & Dogs,Michael Lehmann,0.0,min revenue
8867.0,The Punisher,Mark Goldblatt,0.0,min revenue
8869.0,Eight Legged Freaks,Ellory Elkayem,0.0,min revenue
8875.0,Timber Falls,Tony Giglio,0.0,min revenue
8880.0,Che: Part Two,Steven Soderbergh,0.0,min revenue
8881.0,Che: Part One,Steven Soderbergh,0.0,min revenue
8884.0,Franklyn,Gerald McMorrow,0.0,min revenue
8899.0,Le Silence de Lorna,Jean-Pierre Dardenne|Luc Dardenne,0.0,min revenue
8908.0,Maradona by Kusturica,Emir Kusturica,0.0,min revenue
8926.0,Afterschool,Antonio Campos,0.0,min revenue
